"NARATIVE","ORD","LATITUDE","LONGITUDE"
"ARCTIC EAST",1,70,0.00001
"ARCTIC EAST",2,70,15
"ARCTIC EAST",3,72.5,20
"ARCTIC EAST",4,72.5,35
"ARCTIC EAST",5,80.52936,28.152466
"ARCTIC EAST",6,80.703109,49.21463
"ARCTIC EAST",7,71.96475,52.028503
"ARCTIC EAST",8,69.530676,60.455017
"ARCTIC EAST",9,70,179.99
"ARCTIC EAST",10,85,179.99
"ARCTIC EAST",11,85,0.00001
"ARCTIC NORTH",1,70,-180
"ARCTIC NORTH",2,85.05,-180
"ARCTIC NORTH",3,85.05,-28.476562
"ARCTIC NORTH",4,85.05,70
"ARCTIC NORTH",5,85,180
"ARCTIC NORTH",6,70,180
"ARCTIC NORTH",7,70,60.46875
"ARCTIC NORTH",8,72,52.03125
"ARCTIC NORTH",9,80.703997,49.21875
"ARCTIC NORTH",10,80.532071,28.125
"ARCTIC NORTH",11,72,35
"ARCTIC NORTH",12,72,14.765625
"ARCTIC NORTH",13,70,6.679688
"ARCTIC NORTH",14,70,-71.71875
"ARCTIC NORTH",15,70,-98.964844
"ARCTIC NORTH",16,70,-134.824219
"ARCTIC WEST",1,85,-180
"ARCTIC WEST",2,85,0
"ARCTIC WEST",3,70,0
"ARCTIC WEST",4,70,-68.554687
"ARCTIC WEST",5,70,-100
"ARCTIC WEST",6,67.474922,-100
"ARCTIC WEST",7,67.407487,-111.269531
"ARCTIC WEST",8,68.784144,-136.054687
"ARCTIC WEST",9,70,-157.148437
"ARCTIC WEST",10,70,-180
"BARENTS SEA",1,80.52936,28.152466
"BARENTS SEA",2,72,35
"BARENTS SEA",3,69.224997,34.650879
"BARENTS SEA",4,67.575717,41.000977
"BARENTS SEA",5,66.791909,45.878906
"BARENTS SEA",6,68.49604,59.941406
"BARENTS SEA",7,69.530676,60.455017
"BARENTS SEA",8,71.96475,52.028503
"BARENTS SEA",9,80.703109,49.21463
"BERING SEA",1,54.5,161.696777
"BERING SEA",3,55.391592,161.564941
"BERING SEA",5,57.926517,161.938477
"BERING SEA",7,58.950008,162.290039
"BERING SEA",8,59.910976,163.388672
"BERING SEA",10,60.522158,166.333008
"BERING SEA",12,60.640876,169.211426
"BERING SEA",14,62.674143,177.209473
"BERING SEA",16,62.704388,179.055176
"BERING SEA",18,64.168107,178.022461
"BERING SEA",20,64.689713,175.36377
"BERING SEA",22,64.387441,174.309082
"BERING SEA",24,64.520097,173.847656
"BERING SEA",26,64.960766,176.022949
"BERING SEA",28,64.820907,179.077148
"BERING SEA",30,65.802776,-179.758301
"BERING SEA",32,66.293373,-179.736328
"BERING SEA",34,66.469437,-178.395996
"BERING SEA",36,65.703518,-169.233398
"BERING SEA",37,65.458261,-160.048828
"BERING SEA",39,61.41775,-161.411133
"BERING SEA",40,58.539595,-158.950195
"BERING SEA",42,54.5,-170.5
"BERING SEA EAST",1,54.5,180
"BERING SEA EAST",2,66.372755,180
"BERING SEA EAST",3,64.90491,176.220703
"BERING SEA EAST",4,62.975198,177.802734
"BERING SEA EAST",5,61.669024,173.056641
"BERING SEA EAST",6,59.933,162.729492
"BERING SEA EAST",7,54.699234,160.3125
"BERING SEA EAST",8,54.5,160.26
"BERING SEA WEST",1,66.372755,-180
"BERING SEA WEST",2,66.469437,-178.395996
"BERING SEA WEST",3,65.703518,-169.233398
"BERING SEA WEST",4,65.458261,-160.048828
"BERING SEA WEST",5,61.41775,-161.411133
"BERING SEA WEST",6,58.539595,-158.950195
"BERING SEA WEST",7,54.54658,-170.771484
"BERING SEA WEST",8,54.5,-180
"CHUKCHI SEA",1,70,180
"CHUKCHI SEA",2,68.887274,180
"CHUKCHI SEA",3,66.565747,-174.858398
"CHUKCHI SEA",4,65.89268,-170.639648
"CHUKCHI SEA",5,65.658275,-168.046875
"CHUKCHI SEA",6,66.018018,-161.938477
"CHUKCHI SEA",7,66.478208,-159.697266
"CHUKCHI SEA",8,68.138852,-164.926758
"CHUKCHI SEA",9,70,-161.850586
"CHUKCHI SEA EAST",1,70,180
"CHUKCHI SEA EAST",2,68.831802,180
"CHUKCHI SEA EAST",3,69.97,171
"CHUKCHI SEA WEST",1,70,-180
"CHUKCHI SEA WEST",2,70,-162.399902
"CHUKCHI SEA WEST",3,68.926811,-163.87207
"CHUKCHI SEA WEST",4,68.792094,-166.025391
"CHUKCHI SEA WEST",5,67.991108,-165.058594
"CHUKCHI SEA WEST",6,67.187,-163.410645
"CHUKCHI SEA WEST",7,67.05887,-161.71875
"CHUKCHI SEA WEST",8,66.93006,-161.38916
"CHUKCHI SEA WEST",9,66.670387,-161.652832
"CHUKCHI SEA WEST",10,66.644268,-159.675293
"CHUKCHI SEA WEST",11,66.372755,-159.543457
"CHUKCHI SEA WEST",12,66.328685,-160.422363
"CHUKCHI SEA WEST",13,66.160511,-161.147461
"CHUKCHI SEA WEST",14,66.071546,-161.542969
"CHUKCHI SEA WEST",15,65.91959,-162.026367
"CHUKCHI SEA WEST",16,65.703518,-169.101562
"CHUKCHI SEA WEST",17,65.838776,-170.617676
"CHUKCHI SEA WEST",18,66.16939,-170.112305
"CHUKCHI SEA WEST",19,66.583217,-171.276855
"CHUKCHI SEA WEST",20,66.938669,-172.397461
"CHUKCHI SEA WEST",21,67.007428,-173.781738
"CHUKCHI SEA WEST",22,66.372755,-173.583984
"CHUKCHI SEA WEST",23,66.231457,-173.869629
"CHUKCHI SEA WEST",24,66.319861,-174.462891
"CHUKCHI SEA WEST",25,66.652977,-175.012207
"CHUKCHI SEA WEST",26,67.221053,-174.924316
"CHUKCHI SEA WEST",27,67.432798,-175.078125
"CHUKCHI SEA WEST",28,68.91891,-180
"CROZET ISLAND",1,-46.301406,52.77832
"CROZET ISLAND",2,-46.510567,52.751782
"CROZET ISLAND",3,-46.712608,52.672974
"CROZET ISLAND",4,-46.901492,52.54429
"CROZET ISLAND",5,-47.071643,52.369641
"CROZET ISLAND",6,-47.218084,52.154332
"CROZET ISLAND",7,-47.336575,51.904907
"CROZET ISLAND",8,-47.42371,51.628944
"CROZET ISLAND",9,-47.477003,51.334827
"CROZET ISLAND",10,-47.494937,51.031494
"CROZET ISLAND",11,-47.477003,50.728161
"CROZET ISLAND",12,-47.42371,50.434044
"CROZET ISLAND",13,-47.336575,50.158081
"CROZET ISLAND",14,-47.218084,49.908656
"CROZET ISLAND",15,-47.071643,49.693348
"CROZET ISLAND",16,-46.901492,49.518698
"CROZET ISLAND",17,-46.712608,49.390014
"CROZET ISLAND",18,-46.510567,49.311206
"CROZET ISLAND",19,-46.301406,49.284668
"CROZET ISLAND",20,-46.091443,49.311206
"CROZET ISLAND",21,-45.887093,49.390014
"CROZET ISLAND",22,-45.69467,49.518698
"CROZET ISLAND",23,-45.52018,49.693348
"CROZET ISLAND",24,-45.36912,49.908656
"CROZET ISLAND",25,-45.246289,50.158081
"CROZET ISLAND",26,-45.155616,50.434044
"CROZET ISLAND",27,-45.100014,50.728161
"CROZET ISLAND",28,-45.081279,51.031494
"CROZET ISLAND",29,-45.100014,51.334827
"CROZET ISLAND",30,-45.155616,51.628944
"CROZET ISLAND",31,-45.246289,51.904907
"CROZET ISLAND",32,-45.36912,52.154332
"CROZET ISLAND",33,-45.52018,52.369641
"CROZET ISLAND",34,-45.69467,52.54429
"CROZET ISLAND",35,-45.887093,52.672974
"CROZET ISLAND",36,-46.091443,52.751782
"GREENLAND",1,62.298581,-50.001526
"GREENLAND",2,62.221236,-49.982986
"GREENLAND",3,60.522158,-48.164062
"GREENLAND",4,60.500525,-47.416992
"GREENLAND",5,60.261617,-45.834961
"GREENLAND",6,59.977005,-45.527344
"GREENLAND",7,59.512029,-44.077148
"GREENLAND",8,59.667741,-42.802734
"GREENLAND",9,61.7939,-41.616211
