"NARATIVE","ORD","LATITUDE","LONGITUDE"
"SECA BALTIC SEA",1,57.7355555,10.592194
"SECA BALTIC SEA",2,57.7355555,15.549774
"SECA BALTIC SEA",3,65,19
"SECA BALTIC SEA",4,66.6,24.5
"SECA BALTIC SEA",5,60,31
"SECA BALTIC SEA",6,54,20
"SECA BALTIC SEA",7,53,10
"SECA BALTIC SEA",8,55,9
"SECA BALTIC SEA",9,57.5,10.2
"SECA NORTH AMERICA 2 / GREAT LAKES",1,44.249134,-76.599426
"SECA NORTH AMERICA 2 / GREAT LAKES",3,44.103365,-76.335754
"SECA NORTH AMERICA 2 / GREAT LAKES",5,44.07772,-76.03363
"SECA NORTH AMERICA 2 / GREAT LAKES",7,43.802819,-76.129761
"SECA NORTH AMERICA 2 / GREAT LAKES",9,43.456906,-76.195679
"SECA NORTH AMERICA 2 / GREAT LAKES",11,43.157109,-77.23938
"SECA NORTH AMERICA 2 / GREAT LAKES",13,43.125043,-78.684082
"SECA NORTH AMERICA 2 / GREAT LAKES",15,42.633959,-78.695068
"SECA NORTH AMERICA 2 / GREAT LAKES",17,41.120746,-81.947021
"SECA NORTH AMERICA 2 / GREAT LAKES",19,41.516804,-83.583984
"SECA NORTH AMERICA 2 / GREAT LAKES",21,43.325178,-83.562012
"SECA NORTH AMERICA 2 / GREAT LAKES",23,43.405047,-85.957031
"SECA NORTH AMERICA 2 / GREAT LAKES",25,41.590797,-86.154785
"SECA NORTH AMERICA 2 / GREAT LAKES",27,41.426253,-88.044434
"SECA NORTH AMERICA 2 / GREAT LAKES",29,43.786958,-88.901367
"SECA NORTH AMERICA 2 / GREAT LAKES",31,46.225453,-87.407227
"SECA NORTH AMERICA 2 / GREAT LAKES",33,46.830134,-88.901367
"SECA NORTH AMERICA 2 / GREAT LAKES",35,46.164614,-92.504883
"SECA NORTH AMERICA 2 / GREAT LAKES",37,47.129951,-92.944336
"SECA NORTH AMERICA 2 / GREAT LAKES",39,49.239121,-88.330078
"SECA NORTH AMERICA 2 / GREAT LAKES",41,49.066668,-86.176758
"SECA NORTH AMERICA 2 / GREAT LAKES",43,48.224673,-85.605469
"SECA NORTH AMERICA 2 / GREAT LAKES",45,48.136767,-84.462891
"SECA NORTH AMERICA 2 / GREAT LAKES",47,46.656977,-84.155273
"SECA NORTH AMERICA 2 / GREAT LAKES",49,46.415139,-83.803711
"SECA NORTH AMERICA 2 / GREAT LAKES",51,46.103709,-80.639648
"SECA NORTH AMERICA 2 / GREAT LAKES",53,44.731126,-79.475098
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",1,46.809929,-71.181107
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",2,46.818388,-71.233292
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",3,46.7248,-71.889038
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",4,46.441642,-72.476807
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",5,46.286224,-72.998657
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",6,46.004593,-73.262329
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",7,45.579445,-73.685303
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",8,45.379161,-74.141235
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",9,45.065762,-74.674072
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",10,45.02695,-75.053101
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",11,44.429857,-76.025391
"SECA NORTH AMERICA 2 / SAINT LAWRENCE SEAWAY",12,44.231425,-76.577454
