"NARATIVE","ORD","LATITUDE","LONGITUDE"
"ARABIAN SEA",1,-12.082296,78.134766
"ARABIAN SEA",3,-12.012458,41.314087
"ARABIAN SEA",5,-11.146066,41.242676
"ARABIAN SEA",7,-10.60662,41.297607
"ARABIAN SEA",9,-9.893099,41.000977
"ARABIAN SEA",11,-5.615986,40.484619
"ARABIAN SEA",13,-2.174771,42.385254
"ARABIAN SEA",15,-1.625758,41.594238
"ARABIAN SEA",17,11.802834,51.174316
"ARABIAN SEA",19,10.466206,44.25293
"ARABIAN SEA",21,14.997852,40.160522
"ARABIAN SEA",23,14.992546,42.929077
"ARABIAN SEA",25,12.736801,43.511353
"ARABIAN SEA",27,12.833226,45.038452
"ARABIAN SEA",29,13.357554,45.626221
"ARABIAN SEA",31,16.667769,53.12439
"ARABIAN SEA",33,16.467695,53.206787
"ARABIAN SEA",35,16.546696,53.640747
"ARABIAN SEA",37,16.620402,53.811035
"ARABIAN SEA",39,16.736167,54.0802
"ARABIAN SEA",41,16.788765,54.338379
"ARABIAN SEA",43,16.751948,54.772339
"ARABIAN SEA",45,16.862377,55.233765
"ARABIAN SEA",47,17.240498,55.513916
"ARABIAN SEA",49,17.240498,56.596069
"ARABIAN SEA",51,17.633552,56.689453
"ARABIAN SEA",53,17.832374,56.925659
"ARABIAN SEA",55,18.20848,57.030029
"ARABIAN SEA",57,18.453557,57.084961
"ARABIAN SEA",59,18.698285,58.123169
"ARABIAN SEA",61,19.973349,58.19458
"ARABIAN SEA",63,19.942369,58.590088
"ARABIAN SEA",65,19.709829,58.639526
"ARABIAN SEA",67,19.689142,58.826294
"ARABIAN SEA",69,19.802886,59.139404
"ARABIAN SEA",71,20.195191,59.320679
"ARABIAN SEA",73,20.519644,59.353638
"ARABIAN SEA",75,20.879343,59.276733
"ARABIAN SEA",77,21.105,59.562378
"ARABIAN SEA",79,22.350076,60.331421
"ARABIAN SEA",81,22.639363,60.303955
"ARABIAN SEA",83,22.786311,60.100708
"ARABIAN SEA",85,22.831883,59.754639
"ARABIAN SEA",87,23.296856,59.315186
"ARABIAN SEA",89,23.629427,58.985596
"ARABIAN SEA",91,23.860722,58.710938
"ARABIAN SEA",93,23.946096,58.282471
"ARABIAN SEA",95,24.076559,58.007813
"ARABIAN SEA",97,24.981079,58.83728
"ARABIAN SEA",101,24.657002,61.913452
"ARABIAN SEA",103,24.761797,63.539429
"ARABIAN SEA",105,24.96116,65.588379
"ARABIAN SEA",107,25.005973,66.077271
"ARABIAN SEA",109,25.137825,66.489258
"ARABIAN SEA",111,24.70442,66.387634
"ARABIAN SEA",113,24.633286,66.722717
"ARABIAN SEA",115,23.981234,67.103119
"ARABIAN SEA",117,23.619362,67.509613
"ARABIAN SEA",119,23.286765,68.010864
"ARABIAN SEA",121,22.745789,68.637085
"ARABIAN SEA",123,22.692586,69.01886
"ARABIAN SEA",125,22.299261,68.672791
"ARABIAN SEA",127,20.715015,70.125732
"ARABIAN SEA",129,20.514499,70.749207
"ARABIAN SEA",131,20.542793,71.114502
"ARABIAN SEA",133,20.668766,71.444092
"ARABIAN SEA",135,21.010163,72.410889
"ARABIAN SEA",137,20.408995,72.545471
"ARABIAN SEA",139,19.895888,72.408142
"ARABIAN SEA",141,19.098458,72.504272
"ARABIAN SEA",143,17.800996,72.713013
"ARABIAN SEA",145,16.335954,72.954712
"ARABIAN SEA",147,15.860958,73.24585
"ARABIAN SEA",149,14.652683,73.910522
"ARABIAN SEA",151,13.939399,74.223633
"ARABIAN SEA",153,13.234598,74.42688
"ARABIAN SEA",155,12.377563,74.6521
"ARABIAN SEA",157,11.824341,74.888306
"ARABIAN SEA",159,11.232286,75.415649
"ARABIAN SEA",161,10.752366,75.706787
"ARABIAN SEA",163,10.087854,75.849609
"ARABIAN SEA",165,9.335252,76.04187
"ARABIAN SEA",167,8.819939,76.333008
"ARABIAN SEA",169,8.390865,76.668091
"ARABIAN SEA",171,8.080985,77.063599
"ARABIAN SEA",173,7.912353,77.486572
"ARABIAN SEA",175,8.05515,78.052368
"BAHRAIN",1,28.533862,48.422241
"BAHRAIN",3,28.661671,48.707886
"BAHRAIN",5,28.502488,48.886414
"BAHRAIN",7,28.347899,49.040222
"BAHRAIN",9,28.122861,49.205017
"BAHRAIN",11,27.982275,49.375305
"BAHRAIN",12,27.371767,49.894409
"BAHRAIN",14,27.205786,49.844971
"BAHRAIN",16,26.819169,50.328369
"BAHRAIN",18,26.39679,50.773315
"BAHRAIN",20,26.12585,50.866699
"BAHRAIN",22,25.878994,50.740356
"BAHRAIN",24,25.705888,50.586548
"BAHRAIN",26,25.19003,50.674438
"BAHRAIN",27,24.726875,50.822754
"BAHRAIN",28,24.642024,51.855469
